"Date";"Path";"Size_GB";"Size_TB"
"28-01-2026";"D:\Depto\Marketing";"2147,46";"2,097"
"28-01-2026";"D:\Depto\Neologiq";"9,92";"0,01"
"28-01-2026";"D:\Depto\NFE Gate";"2,99";"0,003"
"28-01-2026";"D:\Depto\NFE_Entradas";"1,15";"0,001"
"28-01-2026";"D:\Depto\P C P roducao";"172,14";"0,168"
"28-01-2026";"D:\Depto\Projetos";"587,08";"0,573"
"28-01-2026";"D:\Depto\Promoções Swap";"0";"0"
"28-01-2026";"D:\Depto\Recepcao";"0,16";"0"
"28-01-2026";"D:\Depto\Recursos Humanos";"37,31";"0,036"
"28-01-2026";"D:\Depto\Servicos";"101";"0,099"
"28-01-2026";"D:\Depto\Shared";"81,07";"0,079"
"28-01-2026";"D:\Depto\SIG";"15,88";"0,016"
"28-01-2026";"D:\Depto\SOMENTO ANG-E";"0";"0"
"28-01-2026";"D:\Depto\TOOL FLO";"0,01";"0"
"28-01-2026";"D:\Depto\UTIL";"29,81";"0,029"
"28-01-2026";"D:\Depto\XML";"0,01";"0"
"28-01-2026";"D:\Qualidade\Analise Ambiente Processos SWOT";"0,01";"0"
"28-01-2026";"D:\Qualidade\Analise Critica";"0,05";"0"
"28-01-2026";"D:\Qualidade\Anexos_AGI";"0,02";"0"
"28-01-2026";"D:\Qualidade\Auditorias";"0,27";"0"
"28-01-2026";"D:\Qualidade\Avaliação de Fornecedores";"3,85";"0,004"
"28-01-2026";"D:\Qualidade\Certificados Gero Trescal";"0,19";"0"
"28-01-2026";"D:\Qualidade\Contexto_SWOT";"0,01";"0"
"28-01-2026";"D:\Qualidade\Controle de Revisões";"0,06";"0"
"28-01-2026";"D:\Qualidade\Corona Vírus";"0,74";"0,001"
"28-01-2026";"D:\Qualidade\Informativo SIG";"0,04";"0"
"28-01-2026";"D:\Qualidade\Instruções_IGI";"0,31";"0"
"28-01-2026";"D:\Qualidade\Manual da Gestão Integrada";"0,01";"0"
"28-01-2026";"D:\Qualidade\Manual da Gestão Integrada (novo)";"0";"0"
"28-01-2026";"D:\Qualidade\Norma ISO 9001 - 14001 - Versão 2015 - BS OHSAS 18001";"0,05";"0"
"28-01-2026";"D:\Qualidade\Normas";"0,07";"0"
"28-01-2026";"D:\Qualidade\Objetivos da Política";"0,01";"0"
"28-01-2026";"D:\Qualidade\Obsoletos";"3,31";"0,003"
"28-01-2026";"D:\Qualidade\Pesquisa de Satisfação";"0,15";"0"
"28-01-2026";"D:\Qualidade\PGTA";"0,02";"0"
"28-01-2026";"D:\Qualidade\Política Integrada de Gestão";"0,01";"0"
"28-01-2026";"D:\Qualidade\Procedimentos_PGI";"0,02";"0"
"28-01-2026";"D:\Qualidade\RACP's";"0,63";"0,001"
"28-01-2026";"D:\Qualidade\Registros_RGI";"0,02";"0"
"29-01-2026";"D:\Depto\Adm de Vendas";"24";"0,023"
"29-01-2026";"D:\Depto\Almoxarifado";"20,13";"0,02"
"29-01-2026";"D:\Depto\Aplicações";"0,51";"0"
"29-01-2026";"D:\Depto\Comercial";"2,84";"0,003"
"29-01-2026";"D:\Depto\Comitê de Vendas";"0";"0"
"29-01-2026";"D:\Depto\Compras";"0,87";"0,001"
"29-01-2026";"D:\Depto\Conquiscar+1";"0";"0"
"29-01-2026";"D:\Depto\Contabilidade";"173,42";"0,169"
"29-01-2026";"D:\Depto\Controladoria";"18,55";"0,018"
"29-01-2026";"D:\Depto\Controle Comercial";"28,52";"0,028"
"29-01-2026";"D:\Depto\Controle de Qualidade";"40,63";"0,04"
"29-01-2026";"D:\Depto\CTMS";"5,43";"0,005"
"29-01-2026";"D:\Depto\Departamento Pessoal";"9,38";"0,009"
"29-01-2026";"D:\Depto\Director's Report";"0,51";"0,001"
"29-01-2026";"D:\Depto\Diretoria";"5,99";"0,006"
"29-01-2026";"D:\Depto\DVR";"0";"0"
"29-01-2026";"D:\Depto\Eng de Processos";"234,26";"0,229"
"29-01-2026";"D:\Depto\Eng de Produtos";"389,92";"0,381"
"29-01-2026";"D:\Depto\Escola de Pais";"0,2";"0"
"29-01-2026";"D:\Depto\EXCEL";"0,18";"0"
"29-01-2026";"D:\Depto\Exportação";"2,88";"0,003"
"29-01-2026";"D:\Depto\Fabrica";"69,67";"0,068"
"29-01-2026";"D:\Depto\Financeiro";"13,15";"0,013"
"29-01-2026";"D:\Depto\Fiscal";"68,33";"0,067"
"29-01-2026";"D:\Depto\Grupo Doação";"0,01";"0"
"29-01-2026";"D:\Depto\IMC IT";"0,29";"0"
"29-01-2026";"D:\Depto\IMC_Compliance_Aviad_Gilson_Leonardo";"0,02";"0"
"29-01-2026";"D:\Depto\Iscar Brazil_Acc_Fin_Tax";"6,68";"0,007"
"29-01-2026";"D:\Depto\IT";"8,68";"0,008"
"29-01-2026";"D:\Depto\Logistica";"183,77";"0,179"
"29-01-2026";"D:\Depto\Manutencao";"4,04";"0,004"
"29-01-2026";"D:\Depto\Marketing";"2147,46";"2,097"
"29-01-2026";"D:\Depto\Neologiq";"9,92";"0,01"
"29-01-2026";"D:\Depto\NFE Gate";"2,99";"0,003"
"29-01-2026";"D:\Depto\NFE_Entradas";"1,15";"0,001"
"29-01-2026";"D:\Depto\P C P roducao";"172,15";"0,168"
"29-01-2026";"D:\Depto\Projetos";"587,14";"0,573"
"29-01-2026";"D:\Depto\Promoções Swap";"0";"0"
"29-01-2026";"D:\Depto\Recepcao";"0,16";"0"
"29-01-2026";"D:\Depto\Recursos Humanos";"37,31";"0,036"
"29-01-2026";"D:\Depto\Servicos";"101";"0,099"
"29-01-2026";"D:\Depto\Shared";"81,07";"0,079"
"29-01-2026";"D:\Depto\SIG";"15,88";"0,016"
"29-01-2026";"D:\Depto\SOMENTO ANG-E";"0";"0"
"29-01-2026";"D:\Depto\TOOL FLO";"0,01";"0"
"29-01-2026";"D:\Depto\UTIL";"29,81";"0,029"
"29-01-2026";"D:\Depto\XML";"0,01";"0"
"29-01-2026";"D:\Qualidade\Analise Ambiente Processos SWOT";"0,01";"0"
"29-01-2026";"D:\Qualidade\Analise Critica";"0,05";"0"
"29-01-2026";"D:\Qualidade\Anexos_AGI";"0,02";"0"
"29-01-2026";"D:\Qualidade\Auditorias";"0,27";"0"
"29-01-2026";"D:\Qualidade\Avaliação de Fornecedores";"3,85";"0,004"
"29-01-2026";"D:\Qualidade\Certificados Gero Trescal";"0,19";"0"
"29-01-2026";"D:\Qualidade\Contexto_SWOT";"0,01";"0"
"29-01-2026";"D:\Qualidade\Controle de Revisões";"0,06";"0"
"29-01-2026";"D:\Qualidade\Corona Vírus";"0,74";"0,001"
"29-01-2026";"D:\Qualidade\Informativo SIG";"0,04";"0"
"29-01-2026";"D:\Qualidade\Instruções_IGI";"0,31";"0"
"29-01-2026";"D:\Qualidade\Manual da Gestão Integrada";"0,01";"0"
"29-01-2026";"D:\Qualidade\Manual da Gestão Integrada (novo)";"0";"0"
"29-01-2026";"D:\Qualidade\Norma ISO 9001 - 14001 - Versão 2015 - BS OHSAS 18001";"0,05";"0"
"29-01-2026";"D:\Qualidade\Normas";"0,07";"0"
"29-01-2026";"D:\Qualidade\Objetivos da Política";"0,01";"0"
"29-01-2026";"D:\Qualidade\Obsoletos";"3,31";"0,003"
"29-01-2026";"D:\Qualidade\Pesquisa de Satisfação";"0,15";"0"
"29-01-2026";"D:\Qualidade\PGTA";"0,02";"0"
"29-01-2026";"D:\Qualidade\Política Integrada de Gestão";"0,01";"0"
"29-01-2026";"D:\Qualidade\Procedimentos_PGI";"0,02";"0"
"29-01-2026";"D:\Qualidade\RACP's";"0,63";"0,001"
"29-01-2026";"D:\Qualidade\Registros_RGI";"0,02";"0"
"30-01-2026";"D:\Depto\Adm de Vendas";"24";"0,023"
"30-01-2026";"D:\Depto\Almoxarifado";"20,13";"0,02"
"30-01-2026";"D:\Depto\Aplicações";"0,51";"0"
"30-01-2026";"D:\Depto\Comercial";"2,84";"0,003"
"30-01-2026";"D:\Depto\Comitê de Vendas";"0";"0"
"30-01-2026";"D:\Depto\Compras";"0,87";"0,001"
"30-01-2026";"D:\Depto\Conquiscar+1";"0";"0"
"30-01-2026";"D:\Depto\Contabilidade";"173,45";"0,169"
"30-01-2026";"D:\Depto\Controladoria";"18,56";"0,018"
"30-01-2026";"D:\Depto\Controle Comercial";"28,52";"0,028"
"30-01-2026";"D:\Depto\Controle de Qualidade";"40,64";"0,04"
"30-01-2026";"D:\Depto\CTMS";"5,43";"0,005"
"30-01-2026";"D:\Depto\Departamento Pessoal";"9,39";"0,009"
"30-01-2026";"D:\Depto\Director's Report";"0,51";"0,001"
"30-01-2026";"D:\Depto\Diretoria";"5,99";"0,006"
"30-01-2026";"D:\Depto\DVR";"0";"0"
"30-01-2026";"D:\Depto\Eng de Processos";"234,26";"0,229"
"30-01-2026";"D:\Depto\Eng de Produtos";"389,92";"0,381"
"30-01-2026";"D:\Depto\Escola de Pais";"0,2";"0"
"30-01-2026";"D:\Depto\EXCEL";"0,18";"0"
"30-01-2026";"D:\Depto\Exportação";"2,88";"0,003"
"30-01-2026";"D:\Depto\Fabrica";"69,67";"0,068"
"30-01-2026";"D:\Depto\Financeiro";"13,15";"0,013"
"30-01-2026";"D:\Depto\Fiscal";"68,33";"0,067"
"30-01-2026";"D:\Depto\Grupo Doação";"0,01";"0"
"30-01-2026";"D:\Depto\IMC IT";"0,29";"0"
"30-01-2026";"D:\Depto\IMC_Compliance_Aviad_Gilson_Leonardo";"0,02";"0"
"30-01-2026";"D:\Depto\Iscar Brazil_Acc_Fin_Tax";"6,69";"0,007"
"30-01-2026";"D:\Depto\IT";"8,68";"0,008"
"30-01-2026";"D:\Depto\Logistica";"183,83";"0,18"
"30-01-2026";"D:\Depto\Manutencao";"4,04";"0,004"
"30-01-2026";"D:\Depto\Marketing";"2147,55";"2,097"
"30-01-2026";"D:\Depto\Neologiq";"9,92";"0,01"
"30-01-2026";"D:\Depto\NFE Gate";"3";"0,003"
"30-01-2026";"D:\Depto\NFE_Entradas";"1,15";"0,001"
"30-01-2026";"D:\Depto\P C P roducao";"172,18";"0,168"
"30-01-2026";"D:\Depto\Projetos";"587,15";"0,573"
"30-01-2026";"D:\Depto\Promoções Swap";"0";"0"
"30-01-2026";"D:\Depto\Recepcao";"0,16";"0"
"30-01-2026";"D:\Depto\Recursos Humanos";"37,31";"0,036"
"30-01-2026";"D:\Depto\Servicos";"101";"0,099"
"30-01-2026";"D:\Depto\Shared";"81,07";"0,079"
"30-01-2026";"D:\Depto\SIG";"15,88";"0,016"
"30-01-2026";"D:\Depto\SOMENTO ANG-E";"0";"0"
"30-01-2026";"D:\Depto\TOOL FLO";"0,01";"0"
"30-01-2026";"D:\Depto\UTIL";"29,81";"0,029"
"30-01-2026";"D:\Depto\XML";"0,01";"0"
"30-01-2026";"D:\Qualidade\Analise Ambiente Processos SWOT";"0,01";"0"
"30-01-2026";"D:\Qualidade\Analise Critica";"0,05";"0"
"30-01-2026";"D:\Qualidade\Anexos_AGI";"0,02";"0"
"30-01-2026";"D:\Qualidade\Auditorias";"0,27";"0"
"30-01-2026";"D:\Qualidade\Avaliação de Fornecedores";"3,85";"0,004"
"30-01-2026";"D:\Qualidade\Certificados Gero Trescal";"0,19";"0"
"30-01-2026";"D:\Qualidade\Contexto_SWOT";"0,01";"0"
"30-01-2026";"D:\Qualidade\Controle de Revisões";"0,06";"0"
"30-01-2026";"D:\Qualidade\Corona Vírus";"0,74";"0,001"
"30-01-2026";"D:\Qualidade\Informativo SIG";"0,04";"0"
"30-01-2026";"D:\Qualidade\Instruções_IGI";"0,31";"0"
"30-01-2026";"D:\Qualidade\Manual da Gestão Integrada";"0,01";"0"
"30-01-2026";"D:\Qualidade\Manual da Gestão Integrada (novo)";"0";"0"
"30-01-2026";"D:\Qualidade\Norma ISO 9001 - 14001 - Versão 2015 - BS OHSAS 18001";"0,05";"0"
"30-01-2026";"D:\Qualidade\Normas";"0,07";"0"
"30-01-2026";"D:\Qualidade\Objetivos da Política";"0,01";"0"
"30-01-2026";"D:\Qualidade\Obsoletos";"3,31";"0,003"
"30-01-2026";"D:\Qualidade\Pesquisa de Satisfação";"0,15";"0"
"30-01-2026";"D:\Qualidade\PGTA";"0,02";"0"
"30-01-2026";"D:\Qualidade\Política Integrada de Gestão";"0,01";"0"
"30-01-2026";"D:\Qualidade\Procedimentos_PGI";"0,02";"0"
"30-01-2026";"D:\Qualidade\RACP's";"0,63";"0,001"
"30-01-2026";"D:\Qualidade\Registros_RGI";"0,02";"0"
"31-01-2026";"D:\Depto\Adm de Vendas";"24";"0,023"
"31-01-2026";"D:\Depto\Almoxarifado";"20,13";"0,02"
"31-01-2026";"D:\Depto\Aplicações";"0,51";"0"
"31-01-2026";"D:\Depto\Comercial";"2,84";"0,003"
"31-01-2026";"D:\Depto\Comitê de Vendas";"0";"0"
"31-01-2026";"D:\Depto\Compras";"0,87";"0,001"
"31-01-2026";"D:\Depto\Conquiscar+1";"0";"0"
"31-01-2026";"D:\Depto\Contabilidade";"173,48";"0,169"
"31-01-2026";"D:\Depto\Controladoria";"18,56";"0,018"
"31-01-2026";"D:\Depto\Controle Comercial";"28,52";"0,028"
"31-01-2026";"D:\Depto\Controle de Qualidade";"40,64";"0,04"
"31-01-2026";"D:\Depto\CTMS";"5,43";"0,005"
"31-01-2026";"D:\Depto\Departamento Pessoal";"9,39";"0,009"
"31-01-2026";"D:\Depto\Director's Report";"0,51";"0,001"
"31-01-2026";"D:\Depto\Diretoria";"5,99";"0,006"
"31-01-2026";"D:\Depto\DVR";"0";"0"
"31-01-2026";"D:\Depto\Eng de Processos";"234,26";"0,229"
"31-01-2026";"D:\Depto\Eng de Produtos";"389,92";"0,381"
"31-01-2026";"D:\Depto\Escola de Pais";"0,2";"0"
"31-01-2026";"D:\Depto\EXCEL";"0,18";"0"
"31-01-2026";"D:\Depto\Exportação";"2,88";"0,003"
"31-01-2026";"D:\Depto\Fabrica";"69,67";"0,068"
"31-01-2026";"D:\Depto\Financeiro";"13,16";"0,013"
"31-01-2026";"D:\Depto\Fiscal";"68,34";"0,067"
"31-01-2026";"D:\Depto\Grupo Doação";"0,01";"0"
"31-01-2026";"D:\Depto\IMC IT";"0,29";"0"
"31-01-2026";"D:\Depto\IMC_Compliance_Aviad_Gilson_Leonardo";"0,02";"0"
"31-01-2026";"D:\Depto\Iscar Brazil_Acc_Fin_Tax";"6,69";"0,007"
"31-01-2026";"D:\Depto\IT";"8,68";"0,008"
"31-01-2026";"D:\Depto\Logistica";"183,89";"0,18"
"31-01-2026";"D:\Depto\Manutencao";"4,04";"0,004"
"31-01-2026";"D:\Depto\Marketing";"2147,55";"2,097"
"31-01-2026";"D:\Depto\Neologiq";"9,92";"0,01"
"31-01-2026";"D:\Depto\NFE Gate";"3";"0,003"
"31-01-2026";"D:\Depto\NFE_Entradas";"1,15";"0,001"
"31-01-2026";"D:\Depto\P C P roducao";"172,19";"0,168"
"31-01-2026";"D:\Depto\Projetos";"587,21";"0,573"
"31-01-2026";"D:\Depto\Promoções Swap";"0";"0"
"31-01-2026";"D:\Depto\Recepcao";"0,16";"0"
"31-01-2026";"D:\Depto\Recursos Humanos";"37,31";"0,036"
"31-01-2026";"D:\Depto\Servicos";"101";"0,099"
"31-01-2026";"D:\Depto\Shared";"81,07";"0,079"
"31-01-2026";"D:\Depto\SIG";"15,88";"0,016"
"31-01-2026";"D:\Depto\SOMENTO ANG-E";"0";"0"
"31-01-2026";"D:\Depto\TOOL FLO";"0,01";"0"
"31-01-2026";"D:\Depto\UTIL";"29,81";"0,029"
"31-01-2026";"D:\Depto\XML";"0,01";"0"
"31-01-2026";"D:\Qualidade\Analise Ambiente Processos SWOT";"0,01";"0"
"31-01-2026";"D:\Qualidade\Analise Critica";"0,05";"0"
"31-01-2026";"D:\Qualidade\Anexos_AGI";"0,02";"0"
"31-01-2026";"D:\Qualidade\Auditorias";"0,27";"0"
"31-01-2026";"D:\Qualidade\Avaliação de Fornecedores";"3,85";"0,004"
"31-01-2026";"D:\Qualidade\Certificados Gero Trescal";"0,19";"0"
"31-01-2026";"D:\Qualidade\Contexto_SWOT";"0,01";"0"
"31-01-2026";"D:\Qualidade\Controle de Revisões";"0,06";"0"
"31-01-2026";"D:\Qualidade\Corona Vírus";"0,74";"0,001"
"31-01-2026";"D:\Qualidade\Informativo SIG";"0,04";"0"
"31-01-2026";"D:\Qualidade\Instruções_IGI";"0,31";"0"
"31-01-2026";"D:\Qualidade\Manual da Gestão Integrada";"0,01";"0"
"31-01-2026";"D:\Qualidade\Manual da Gestão Integrada (novo)";"0";"0"
"31-01-2026";"D:\Qualidade\Norma ISO 9001 - 14001 - Versão 2015 - BS OHSAS 18001";"0,05";"0"
"31-01-2026";"D:\Qualidade\Normas";"0,07";"0"
"31-01-2026";"D:\Qualidade\Objetivos da Política";"0,01";"0"
"31-01-2026";"D:\Qualidade\Obsoletos";"3,31";"0,003"
"31-01-2026";"D:\Qualidade\Pesquisa de Satisfação";"0,15";"0"
"31-01-2026";"D:\Qualidade\PGTA";"0,02";"0"
"31-01-2026";"D:\Qualidade\Política Integrada de Gestão";"0,01";"0"
"31-01-2026";"D:\Qualidade\Procedimentos_PGI";"0,02";"0"
"31-01-2026";"D:\Qualidade\RACP's";"0,63";"0,001"
"31-01-2026";"D:\Qualidade\Registros_RGI";"0,02";"0"
"01-02-2026";"D:\Depto\Adm de Vendas";"24";"0,023"
"01-02-2026";"D:\Depto\Almoxarifado";"20,13";"0,02"
"01-02-2026";"D:\Depto\Aplicações";"0,51";"0"
"01-02-2026";"D:\Depto\Comercial";"2,84";"0,003"
"01-02-2026";"D:\Depto\Comitê de Vendas";"0";"0"
"01-02-2026";"D:\Depto\Compras";"0,87";"0,001"
"01-02-2026";"D:\Depto\Conquiscar+1";"0";"0"
"01-02-2026";"D:\Depto\Contabilidade";"173,48";"0,169"
"01-02-2026";"D:\Depto\Controladoria";"18,56";"0,018"
"01-02-2026";"D:\Depto\Controle Comercial";"28,52";"0,028"
"01-02-2026";"D:\Depto\Controle de Qualidade";"40,63";"0,04"
"01-02-2026";"D:\Depto\CTMS";"5,43";"0,005"
"01-02-2026";"D:\Depto\Departamento Pessoal";"9,39";"0,009"
"01-02-2026";"D:\Depto\Director's Report";"0,51";"0,001"
"01-02-2026";"D:\Depto\Diretoria";"5,99";"0,006"
"01-02-2026";"D:\Depto\DVR";"0";"0"
"01-02-2026";"D:\Depto\Eng de Processos";"234,26";"0,229"
"01-02-2026";"D:\Depto\Eng de Produtos";"389,92";"0,381"
"01-02-2026";"D:\Depto\Escola de Pais";"0,2";"0"
"01-02-2026";"D:\Depto\EXCEL";"0,18";"0"
"01-02-2026";"D:\Depto\Exportação";"2,88";"0,003"
"01-02-2026";"D:\Depto\Fabrica";"69,67";"0,068"
"01-02-2026";"D:\Depto\Financeiro";"13,16";"0,013"
"01-02-2026";"D:\Depto\Fiscal";"68,34";"0,067"
"01-02-2026";"D:\Depto\Grupo Doação";"0,01";"0"
"01-02-2026";"D:\Depto\IMC IT";"0,29";"0"
"01-02-2026";"D:\Depto\IMC_Compliance_Aviad_Gilson_Leonardo";"0,02";"0"
"01-02-2026";"D:\Depto\Iscar Brazil_Acc_Fin_Tax";"6,69";"0,007"
"01-02-2026";"D:\Depto\IT";"8,68";"0,008"
"01-02-2026";"D:\Depto\Logistica";"183,89";"0,18"
"01-02-2026";"D:\Depto\Manutencao";"4,04";"0,004"
"01-02-2026";"D:\Depto\Marketing";"2147,55";"2,097"
"01-02-2026";"D:\Depto\Neologiq";"9,92";"0,01"
"01-02-2026";"D:\Depto\NFE Gate";"3";"0,003"
"01-02-2026";"D:\Depto\NFE_Entradas";"1,15";"0,001"
"01-02-2026";"D:\Depto\P C P roducao";"172,19";"0,168"
"01-02-2026";"D:\Depto\Projetos";"587,21";"0,573"
"01-02-2026";"D:\Depto\Promoções Swap";"0";"0"
"01-02-2026";"D:\Depto\Recepcao";"0,16";"0"
"01-02-2026";"D:\Depto\Recursos Humanos";"37,31";"0,036"
"01-02-2026";"D:\Depto\Servicos";"101";"0,099"
"01-02-2026";"D:\Depto\Shared";"81,07";"0,079"
"01-02-2026";"D:\Depto\SIG";"15,88";"0,016"
"01-02-2026";"D:\Depto\SOMENTO ANG-E";"0";"0"
"01-02-2026";"D:\Depto\TOOL FLO";"0,01";"0"
"01-02-2026";"D:\Depto\UTIL";"29,81";"0,029"
"01-02-2026";"D:\Depto\XML";"0,01";"0"
"01-02-2026";"D:\Qualidade\Analise Ambiente Processos SWOT";"0,01";"0"
"01-02-2026";"D:\Qualidade\Analise Critica";"0,05";"0"
"01-02-2026";"D:\Qualidade\Anexos_AGI";"0,02";"0"
"01-02-2026";"D:\Qualidade\Auditorias";"0,27";"0"
"01-02-2026";"D:\Qualidade\Avaliação de Fornecedores";"3,85";"0,004"
"01-02-2026";"D:\Qualidade\Certificados Gero Trescal";"0,19";"0"
"01-02-2026";"D:\Qualidade\Contexto_SWOT";"0,01";"0"
"01-02-2026";"D:\Qualidade\Controle de Revisões";"0,06";"0"
"01-02-2026";"D:\Qualidade\Corona Vírus";"0,74";"0,001"
"01-02-2026";"D:\Qualidade\Informativo SIG";"0,04";"0"
"01-02-2026";"D:\Qualidade\Instruções_IGI";"0,31";"0"
"01-02-2026";"D:\Qualidade\Manual da Gestão Integrada";"0,01";"0"
"01-02-2026";"D:\Qualidade\Manual da Gestão Integrada (novo)";"0";"0"
"01-02-2026";"D:\Qualidade\Norma ISO 9001 - 14001 - Versão 2015 - BS OHSAS 18001";"0,05";"0"
"01-02-2026";"D:\Qualidade\Normas";"0,07";"0"
"01-02-2026";"D:\Qualidade\Objetivos da Política";"0,01";"0"
"01-02-2026";"D:\Qualidade\Obsoletos";"3,31";"0,003"
"01-02-2026";"D:\Qualidade\Pesquisa de Satisfação";"0,15";"0"
"01-02-2026";"D:\Qualidade\PGTA";"0,02";"0"
"01-02-2026";"D:\Qualidade\Política Integrada de Gestão";"0,01";"0"
"01-02-2026";"D:\Qualidade\Procedimentos_PGI";"0,02";"0"
"01-02-2026";"D:\Qualidade\RACP's";"0,63";"0,001"
"01-02-2026";"D:\Qualidade\Registros_RGI";"0,02";"0"
"02-02-2026";"D:\Depto\Adm de Vendas";"24";"0,023"
"02-02-2026";"D:\Depto\Almoxarifado";"20,13";"0,02"
"02-02-2026";"D:\Depto\Aplicações";"0,51";"0"
"02-02-2026";"D:\Depto\Comercial";"2,84";"0,003"
"02-02-2026";"D:\Depto\Comitê de Vendas";"0";"0"
"02-02-2026";"D:\Depto\Compras";"0,87";"0,001"
"02-02-2026";"D:\Depto\Conquiscar+1";"0";"0"
"02-02-2026";"D:\Depto\Contabilidade";"173,48";"0,169"
"02-02-2026";"D:\Depto\Controladoria";"18,56";"0,018"
"02-02-2026";"D:\Depto\Controle Comercial";"28,52";"0,028"
"02-02-2026";"D:\Depto\Controle de Qualidade";"40,63";"0,04"
"02-02-2026";"D:\Depto\CTMS";"5,43";"0,005"
"02-02-2026";"D:\Depto\Departamento Pessoal";"9,39";"0,009"
"02-02-2026";"D:\Depto\Director's Report";"0,51";"0,001"
"02-02-2026";"D:\Depto\Diretoria";"5,99";"0,006"
"02-02-2026";"D:\Depto\DVR";"0";"0"
"02-02-2026";"D:\Depto\Eng de Processos";"234,26";"0,229"
"02-02-2026";"D:\Depto\Eng de Produtos";"389,92";"0,381"
"02-02-2026";"D:\Depto\Escola de Pais";"0,2";"0"
"02-02-2026";"D:\Depto\EXCEL";"0,18";"0"
"02-02-2026";"D:\Depto\Exportação";"2,88";"0,003"
"02-02-2026";"D:\Depto\Fabrica";"69,67";"0,068"
"02-02-2026";"D:\Depto\Financeiro";"13,16";"0,013"
"02-02-2026";"D:\Depto\Fiscal";"68,34";"0,067"
"02-02-2026";"D:\Depto\Grupo Doação";"0,01";"0"
"02-02-2026";"D:\Depto\IMC IT";"0,29";"0"
"02-02-2026";"D:\Depto\IMC_Compliance_Aviad_Gilson_Leonardo";"0,02";"0"
"02-02-2026";"D:\Depto\Iscar Brazil_Acc_Fin_Tax";"6,69";"0,007"
"02-02-2026";"D:\Depto\IT";"8,68";"0,008"
"02-02-2026";"D:\Depto\Logistica";"183,89";"0,18"
"02-02-2026";"D:\Depto\Manutencao";"4,04";"0,004"
"02-02-2026";"D:\Depto\Marketing";"2147,55";"2,097"
"02-02-2026";"D:\Depto\Neologiq";"9,92";"0,01"
"02-02-2026";"D:\Depto\NFE Gate";"3";"0,003"
"02-02-2026";"D:\Depto\NFE_Entradas";"1,15";"0,001"
"02-02-2026";"D:\Depto\P C P roducao";"172,19";"0,168"
"02-02-2026";"D:\Depto\Projetos";"587,21";"0,573"
"02-02-2026";"D:\Depto\Promoções Swap";"0";"0"
"02-02-2026";"D:\Depto\Recepcao";"0,16";"0"
"02-02-2026";"D:\Depto\Recursos Humanos";"37,31";"0,036"
"02-02-2026";"D:\Depto\Servicos";"101";"0,099"
"02-02-2026";"D:\Depto\Shared";"81,07";"0,079"
"02-02-2026";"D:\Depto\SIG";"15,88";"0,016"
"02-02-2026";"D:\Depto\SOMENTO ANG-E";"0";"0"
"02-02-2026";"D:\Depto\TOOL FLO";"0,01";"0"
"02-02-2026";"D:\Depto\UTIL";"29,81";"0,029"
"02-02-2026";"D:\Depto\XML";"0,01";"0"
"02-02-2026";"D:\Qualidade\Analise Ambiente Processos SWOT";"0,01";"0"
"02-02-2026";"D:\Qualidade\Analise Critica";"0,05";"0"
"02-02-2026";"D:\Qualidade\Anexos_AGI";"0,02";"0"
"02-02-2026";"D:\Qualidade\Auditorias";"0,27";"0"
